Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
699,699,0,0,225,0,33
700,700,0,0,225,0,33
701,701,0,0,225,0,33
702,702,0,0,225,0,33
703,703,0,0,225,0,33
704,704,0,0,225,0,33
705,705,0,0,225,0,33
706,706,0,0,225,0,33
707,707,0,0,225,0,33
708,708,0,0,225,0,33
709,709,0,0,225,0,33
710,710,0,0,225,0,33
711,711,0,0,225,0,33
712,712,0,0,225,0,33
713,713,0,0,225,0,33
714,714,0,0,225,0,33
715,715,0,0,225,0,33
716,716,0,0,225,0,33
717,717,0,0,225,0,33
718,718,0,0,225,0,33
719,719,0,0,225,0,33
720,720,0,0,225,0,33
721,721,0,0,225,0,33
722,722,0,0,225,0,33
723,723,0,0,225,0,33
724,724,0,0,225,0,33
725,725,0,0,225,0,33
726,726,0,0,225,0,33
727,727,0,0,225,0,33
728,728,0,0,225,0,33
729,729,0,0,225,0,33
730,730,0,0,225,0,33
731,731,0,0,225,0,33
732,732,0,0,225,0,33
733,733,0,0,225,0,33
734,734,0,0,225,0,33
735,735,0,0,225,0,33
736,736,0,0,225,0,33
737,737,0,0,225,0,33
738,738,0,0,225,0,33
739,739,0,0,225,0,33
740,740,0,0,225,0,33
741,741,0,0,225,0,33
742,742,0,0,225,0,33
743,743,0,0,225,0,33
744,744,0,0,225,0,33
745,745,0,0,225,0,33
746,746,0,0,225,0,33
747,747,0,0,225,0,33
748,748,0,0,225,0,33
749,749,0,0,225,0,33
750,750,0,0,225,0,33
751,751,0,0,225,0,33
752,752,0,0,225,0,33
753,753,0,0,225,0,33
754,754,0,0,225,0,33
755,755,0,0,225,0,33
756,756,0,0,225,0,33
757,757,0,0,225,0,33
758,758,0,0,225,0,33
759,759,0,0,225,0,33
760,760,0,0,225,0,33
761,761,0,0,225,0,33
762,762,0,0,225,0,33
763,763,0,0,225,0,33
764,764,0,0,225,0,33
765,765,0,0,225,0,33
766,766,0,0,225,0,33
767,767,0,0,225,0,33
768,768,0,0,225,0,33
769,769,0,0,225,0,33
770,770,0,0,225,0,33
771,771,0,0,225,0,33
772,772,0,0,225,0,33
773,773,0,0,225,0,33
774,774,0,0,225,0,33
775,775,0,0,225,0,33
776,776,0,0,225,0,33
777,777,0,0,225,0,33
778,778,0,0,225,0,33
779,779,0,0,225,0,33
780,780,0,0,225,0,33
781,781,0,0,225,0,33
782,782,0,0,225,0,33
783,783,0,0,225,0,33
784,784,0,0,225,0,33
785,785,0,0,225,0,33
786,786,0,0,225,0,33
787,787,0,0,225,0,33
788,788,0,0,225,0,33
789,789,0,0,225,0,33
790,790,0,0,225,0,33
791,791,0,0,225,0,33
792,792,0,0,225,0,33
793,793,0,0,225,0,33
794,794,0,0,225,0,33
795,795,0,0,225,0,33
796,796,0,0,225,0,33
797,797,0,0,225,0,33
798,798,0,0,225,0,33
799,799,0,0,225,0,33
800,800,0,0,225,0,33
801,801,0,0,225,0,33
802,802,0,0,225,0,33
803,803,0,0,225,0,33
804,804,0,0,225,0,33
805,805,0,0,225,0,33
806,806,0,0,225,0,33
807,807,0,0,225,0,33
808,808,0,0,225,0,33
809,809,0,0,225,0,33
810,810,0,0,225,0,33
811,811,0,0,225,0,33
812,812,0,0,225,0,33
813,813,0,0,225,0,33
814,814,0,0,225,0,33
815,815,0,0,225,0,33
816,816,0,0,225,0,33
817,817,0,0,225,0,33
818,818,0,0,225,0,33
819,819,0,0,225,0,33
820,820,0,0,225,0,33
821,821,0,0,225,0,33
822,822,0,0,225,0,33
823,823,0,0,225,0,33
824,824,0,0,225,0,33
825,825,0,0,225,0,33
826,826,0,0,225,0,33
827,827,0,0,225,0,33
828,828,0,0,225,0,33
829,829,0,0,225,0,33
830,830,0,0,225,0,33
831,831,0,0,225,0,33
832,832,0,0,225,0,33
833,833,0,0,225,0,33
834,834,0,0,225,0,33
835,835,0,0,225,0,33
836,836,0,0,225,0,33
837,837,0,0,225,0,33
838,838,0,0,225,0,33
839,839,0,0,225,0,33
840,840,0,0,225,0,33
841,841,0,0,225,0,33
842,842,0,0,225,0,33
843,843,0,0,225,0,33
844,844,0,0,225,0,33
845,845,0,0,225,0,33
846,846,0,0,225,0,33
847,847,0,0,225,0,33
848,848,0,0,225,0,33
849,849,0,0,225,0,33
850,850,0,0,225,0,33
851,851,0,0,225,0,33
852,852,0,0,225,0,33
853,853,0,0,225,0,33
854,854,0,0,225,0,33
855,855,0,0,225,0,33
856,856,0,0,225,0,33
857,857,0,0,225,0,33
858,858,0,0,225,0,33
859,859,0,0,225,0,33
860,860,0,0,225,0,33
861,861,0,0,225,0,33
862,862,0,0,225,0,33
863,863,0,0,225,0,33
864,864,0,0,225,0,33
865,865,0,0,225,0,33
866,866,0,0,225,0,33
867,867,0,0,225,0,33
868,868,0,0,225,0,33
869,869,0,0,225,0,33
870,870,0,0,225,0,33
871,871,0,0,225,0,33
872,872,0,0,225,0,33
873,873,0,0,225,0,33
874,874,0,0,225,0,33
875,875,0,0,225,0,33
876,876,0,0,225,0,33
877,877,0,0,225,0,33
878,878,0,0,225,0,33
879,879,0,0,225,0,33
880,880,0,0,225,0,33
881,881,0,0,225,0,33
882,882,0,0,225,0,33
883,883,0,0,225,0,33
884,884,0,0,225,0,33
885,885,0,0,225,0,33
886,886,0,0,225,0,33
887,887,0,0,225,0,33
888,888,0,0,225,0,33
889,889,0,0,225,0,33
890,890,0,0,225,0,33
891,891,0,0,225,0,33
892,892,0,0,225,0,33
893,893,0,0,225,0,33
894,894,0,0,225,0,33
895,895,0,0,225,0,33
896,896,0,0,225,0,33
897,897,0,0,225,0,33
898,898,0,0,225,0,33
899,899,0,0,225,0,33
900,900,0,0,225,0,33
901,901,0,0,225,0,33
